Time,Latitude,Longitude
2021-11-21 04:02:00,-34.56937810,-58.43194220
2021-11-21 04:07:24,-34.57016700,-58.43241370
2021-11-21 04:12:12,-34.57016700,-58.43241370
2021-11-21 05:38:03,-34.57016700,-58.43241370
2021-11-21 06:46:03,-34.57016700,-58.43241370
2021-11-21 11:03:09,-34.57016700,-58.43241370
2021-11-21 11:05:30,-34.57016700,-58.43241370
2021-11-21 11:31:10,-34.57016700,-58.43241370
2021-11-21 13:12:50,-34.57016700,-58.43241370
2021-11-21 13:22:20,-34.57016700,-58.43241370
2021-11-21 13:24:42,-34.57062160,-58.43196500
2021-11-21 13:26:49,-34.57060700,-58.43205880
2021-11-21 13:29:11,-34.57055460,-58.43228860
2021-11-21 13:32:03,-34.56790840,-58.43752510
2021-11-21 13:34:18,-34.56274410,-58.43957370
2021-11-21 13:37:00,-34.55746150,-58.44191670
2021-11-21 13:39:09,-34.55202780,-58.43732740
2021-11-21 13:41:25,-34.54253510,-58.44796830
2021-11-21 13:43:34,-34.53525330,-58.46743930
2021-11-21 13:46:14,-34.53543840,-58.47456730
2021-11-21 13:48:24,-34.53014370,-58.47050840
2021-11-21 13:49:33,-34.52301830,-58.47388530
2021-11-21 13:50:42,-34.52352680,-58.47351240
2021-11-21 13:53:34,-34.52301980,-58.47388320
2021-11-21 15:12:40,-34.52329580,-58.47524630
2021-11-21 15:12:44,-34.52328040,-58.47373320
2021-11-21 15:17:52,-34.53793050,-58.47640180
2021-11-21 15:20:50,-34.54406370,-58.44707850
2021-11-21 15:25:49,-34.55326840,-58.43893920
2021-11-21 15:27:57,-34.55698820,-58.44352080
2021-11-21 15:33:22,-34.57054250,-58.43228770
2021-11-21 15:38:55,-34.57016700,-58.43241370
2021-11-21 16:05:19,-34.57016700,-58.43241370
2021-11-21 16:14:59,-34.57016700,-58.43241370
2021-11-21 17:01:52,-34.57016700,-58.43241370
2021-11-21 17:30:47,-34.57016700,-58.43241370
2021-11-21 18:03:57,-34.57065770,-58.43189310
2021-11-21 18:09:12,-34.57050520,-58.43160070
2021-11-21 18:11:12,-34.57049390,-58.43162510
2021-11-21 18:13:12,-34.57049010,-58.43163300
2021-11-21 18:15:13,-34.57049330,-58.43163270
2021-11-21 18:17:07,-34.57051000,-58.43160410
2021-11-21 18:19:13,-34.57049700,-58.43159380
2021-11-21 19:30:02,-34.57064280,-58.43193880
2021-11-21 19:37:49,-34.57016700,-58.43241370
2021-11-21 20:11:37,-34.57016700,-58.43241370
2021-11-21 22:40:22,-34.57064630,-58.43191720
2021-11-21 22:42:28,-34.57024860,-58.43219220
2021-11-21 23:10:18,-34.57016700,-58.43241370
2021-11-21 23:12:19,-34.57020910,-58.43240810
2021-11-21 23:14:20,-34.57016700,-58.43241370
2021-11-21 23:18:21,-34.57045870,-58.43171850
2021-11-21 23:21:58,-34.57016700,-58.43241370
2021-11-21 23:44:15,-34.57058120,-58.43227420
2021-11-22 00:03:11,-34.57065340,-58.43188760
2021-11-22 00:05:14,-34.57016700,-58.43241370
2021-11-22 00:07:45,-34.57113930,-58.43281170
2021-11-22 00:09:50,-34.57181460,-58.43265760
2021-11-22 00:12:50,-34.57232660,-58.43290630
2021-11-22 00:16:56,-34.57152620,-58.43232350
2021-11-22 00:19:46,-34.57062910,-58.43138610
2021-11-22 00:23:03,-34.57021900,-58.43119070
2021-11-22 00:26:09,-34.57067350,-58.43183450
2021-11-22 01:22:50,-34.57016700,-58.43241370
2021-11-22 01:27:22,-34.57016700,-58.43241370
2021-11-22 02:14:58,-34.57016700,-58.43241370
2021-11-22 02:24:03,-34.57016700,-58.43241370
2021-11-22 02:29:14,-34.57016700,-58.43241370
2021-11-22 02:42:34,-34.57073370,-58.43166810
2021-11-22 02:48:43,-34.57016700,-58.43241370
2021-11-22 03:04:44,-34.57070920,-58.43186550
2021-11-22 03:08:02,-34.57064470,-58.43199570
2021-11-22 03:13:36,-34.57124100,-58.43207010
2021-11-22 03:16:03,-34.57152970,-58.43220880
2021-11-22 03:20:02,-34.57220150,-58.43306730
2021-11-22 03:25:09,-34.57141560,-58.43231340
2021-11-22 03:29:20,-34.57005490,-58.43097140
2021-11-22 03:31:28,-34.57067650,-58.43182230
2021-11-22 03:34:37,-34.57016700,-58.43241370
2021-11-22 04:02:11,-34.57016700,-58.43241370
2021-11-22 04:59:16,-34.57016700,-58.43241370
2021-11-22 05:08:41,-34.57016700,-58.43241370
2021-11-22 05:45:37,-34.57016700,-58.43241370
2021-11-22 05:51:32,-34.57016700,-58.43241370
2021-11-22 07:03:59,-34.57016700,-58.43241370
2021-11-22 08:41:14,-34.57016700,-58.43241370
2021-11-22 09:22:18,-34.57016700,-58.43241370
2021-11-22 09:50:09,-34.57016700,-58.43241370
2021-11-22 10:25:28,-34.57016700,-58.43241370
2021-11-22 10:46:57,-34.57016700,-58.43241370
2021-11-22 10:52:18,-34.57016700,-58.43241370
2021-11-22 10:55:44,-34.57068500,-58.43174860
2021-11-22 10:59:31,-34.57016700,-58.43241370
2021-11-22 14:55:16,-34.57057290,-58.43215880
2021-11-22 14:59:22,-34.57016700,-58.43241370
2021-11-22 15:32:06,-34.57016700,-58.43241370
2021-11-22 15:34:16,-34.57161460,-58.43189360
2021-11-22 15:37:18,-34.57215510,-58.43099410
2021-11-22 15:41:38,-34.57169370,-58.43172670
2021-11-22 15:45:04,-34.57075090,-58.43181280
2021-11-22 15:47:51,-34.57016700,-58.43241370
2021-11-22 16:00:44,-34.57071280,-58.43191410
2021-11-22 16:03:08,-34.57068060,-58.43190250
2021-11-22 16:07:28,-34.57016700,-58.43241370
2021-11-22 16:08:52,-34.57055310,-58.43224530
2021-11-22 16:10:53,-34.57047400,-58.43553580
2021-11-22 16:13:02,-34.56369430,-58.43886250
2021-11-22 16:17:07,-34.55190480,-58.45188100
2021-11-22 16:22:20,-34.53338860,-58.46788100
2021-11-22 16:25:46,-34.52185730,-58.47359100
2021-11-22 16:28:55,-34.51047640,-58.47846650
2021-11-22 16:31:27,-34.50672540,-58.48308780
2021-11-22 16:32:32,-34.50867510,-58.48308020
2021-11-22 16:38:46,-34.50667540,-58.48311180
2021-11-22 16:40:41,-34.50676870,-58.48320300
2021-11-22 16:47:14,-34.50655250,-58.48304120
2021-11-22 19:41:37,-34.50603880,-58.48330090
2021-11-22 19:46:46,-34.50661220,-58.48314360
2021-11-22 19:48:07,-34.50881090,-58.48146960
2021-11-22 19:49:57,-34.50670160,-58.48316050
2021-11-22 19:55:33,-34.50796840,-58.48242870
2021-11-22 19:57:57,-34.51357260,-58.47718830
2021-11-22 19:59:59,-34.52008250,-58.47437240
2021-11-22 20:03:40,-34.53452330,-58.46752760
2021-11-22 20:05:46,-34.54335390,-58.46112000
2021-11-22 20:08:40,-34.55108030,-58.45257800
2021-11-22 20:11:24,-34.55852070,-58.44611700
2021-11-22 20:14:21,-34.57019570,-58.43250450
2021-11-22 20:15:41,-34.57076700,-58.43162810
2021-11-22 20:19:10,-34.57067350,-58.43188990
2021-11-22 20:40:29,-34.57016700,-58.43241370
2021-11-22 21:00:48,-34.57016700,-58.43241370
2021-11-22 22:39:48,-34.57016700,-58.43241370
2021-11-22 22:44:18,-34.57067590,-58.43175160
2021-11-22 22:46:25,-34.56999910,-58.43205450
2021-11-22 22:49:45,-34.57016700,-58.43241370
2021-11-22 23:16:38,-34.57016700,-58.43241370
2021-11-23 00:06:25,-34.57016700,-58.43241370
2021-11-23 00:11:30,-34.57016700,-58.43241370
2021-11-23 00:36:41,-34.57058260,-58.43228650
2021-11-23 00:49:01,-34.57016700,-58.43241370
2021-11-23 00:53:51,-34.57016700,-58.43241370
2021-11-23 01:05:42,-34.57069960,-58.43172000
2021-11-23 01:08:48,-34.57068310,-58.43178990
2021-11-23 01:11:47,-34.57054930,-58.43292570
2021-11-23 01:16:03,-34.57215160,-58.43288940
2021-11-23 01:21:02,-34.57126030,-58.43220590
2021-11-23 01:25:08,-34.57001400,-58.43095750
2021-11-23 01:30:02,-34.56909660,-58.43175430
2021-11-23 01:35:20,-34.56972850,-58.43220370
2021-11-23 01:37:26,-34.57057110,-58.43161170
2021-11-23 01:41:16,-34.57016700,-58.43241370
2021-11-23 01:43:24,-34.57016700,-58.43241370
2021-11-23 02:02:28,-34.57016700,-58.43241370
2021-11-23 02:33:35,-34.57016700,-58.43241370
2021-11-23 02:58:59,-34.57016700,-58.43241370
2021-11-23 03:09:22,-34.57016700,-58.43241370
2021-11-23 03:45:04,-34.57016700,-58.43241370
2021-11-23 04:49:12,-34.57016700,-58.43241370
2021-11-23 05:42:46,-34.57016700,-58.43241370
2021-11-23 06:10:40,-34.57016700,-58.43241370
2021-11-23 06:14:25,-34.57059310,-58.43237680
2021-11-23 07:53:32,-34.57016700,-58.43241370
2021-11-23 08:30:33,-34.57016700,-58.43241370
2021-11-23 10:41:52,-34.57016700,-58.43241370
2021-11-23 10:48:45,-34.57016700,-58.43241370
2021-11-23 10:50:47,-34.57058790,-58.43218970
2021-11-23 10:53:54,-34.57059340,-58.43237050
2021-11-23 11:02:15,-34.57016700,-58.43241370
2021-11-23 11:26:17,-34.57016700,-58.43241370
2021-11-23 12:11:48,-34.57016700,-58.43241370
2021-11-23 12:41:25,-34.57016700,-58.43241370
2021-11-23 13:13:46,-34.57016700,-58.43241370
2021-11-23 13:27:46,-34.57059180,-58.43240890
2021-11-23 13:32:43,-34.57016700,-58.43241370
2021-11-23 13:46:18,-34.57016700,-58.43241370
2021-11-23 14:06:17,-34.57016700,-58.43241370
2021-11-23 14:14:01,-34.57016700,-58.43241370
2021-11-23 14:16:02,-34.57062690,-58.43226420
2021-11-23 14:18:06,-34.57061700,-58.43215720
2021-11-23 14:20:09,-34.57060540,-58.43219080
2021-11-23 14:26:07,-34.57062030,-58.43225840
2021-11-23 14:29:49,-34.57059700,-58.43228780
2021-11-23 14:33:28,-34.57016700,-58.43241370
2021-11-23 15:19:21,-34.57021520,-58.43223100
2021-11-23 15:48:47,-34.57016700,-58.43241370
2021-11-23 16:20:39,-34.57049920,-58.43161840
2021-11-23 16:22:43,-34.57086280,-58.43178240
2021-11-23 16:24:08,-34.57050640,-58.43228320
2021-11-23 16:25:36,-34.56650160,-58.43258230
2021-11-23 16:29:56,-34.57395800,-58.41692320
2021-11-23 16:32:00,-34.58101870,-58.40402550
2021-11-23 16:35:06,-34.58563770,-58.38777490
2021-11-23 16:37:25,-34.59132430,-58.38320220
2021-11-23 16:38:17,-34.59427590,-58.38222100
2021-11-23 16:39:44,-34.59450000,-58.38596900
2021-11-23 16:42:40,-34.59421760,-58.38192350
2021-11-23 16:43:02,-34.59420530,-58.38125940
2021-11-23 16:43:16,-34.59458020,-58.38045670
2021-11-23 16:46:07,-34.59473900,-58.38038430
2021-11-23 16:48:40,-34.59433430,-58.38000880
2021-11-23 16:50:51,-34.59421170,-58.38149410
2021-11-23 16:59:28,-34.59419900,-58.38155760
2021-11-23 18:06:54,-34.59418620,-58.38172180
2021-11-23 18:10:19,-34.59413790,-58.38070820
2021-11-23 18:36:27,-34.59479180,-58.37992610
2021-11-23 18:40:48,-34.59432980,-58.38113270
2021-11-23 18:42:49,-34.59595600,-58.37524170
2021-11-23 18:47:02,-34.58424750,-58.39038000
2021-11-23 18:51:17,-34.57455690,-58.40782470
2021-11-23 18:53:31,-34.56711080,-58.41733780
